State,Influenza,logdeaths,Influenzahat,deaths
District of Columbia,0,2.792391689,2.251558,620
Vermont,0,1.792391689,2.251558,62
Wyoming,0,1.146128036,2.251558,14
Delaware,0.141894289,2.671172843,2.298363,469
Rhode Island,0.291235524,2.715167358,2.347624,519
North Dakota,0.291961331,1.278753601,2.347864,19
Idaho,0.402690813,1,2.384389,10
New Hampshire,0.403895098,2.155336037,2.384786,143
Maine,0.749295534,0.477121255,2.498718,3
New Mexico,0.814553859,2.557507202,2.520244,361
Minnesota,1.254823852,2.921686475,2.66547,835
West Virginia,1.293562424,1.113943352,2.678248,13
Nebraska,1.310659916,1.612783857,2.683888,41
Colorado,1.351311195,3.192009593,2.697297,1556
Oklahoma,1.477620799,1.491361694,2.738961,31
Iowa,1.555318634,2.276461804,2.76459,189
South Carolina,1.579071671,3.174931594,2.772426,1496
Louisiana,1.78130979,3.496376054,2.839135,3136
Florida,1.851218098,3.606166315,2.862195,4038
Arkansas,1.86513512,2.1430148,2.866785,139
Washington,1.885288412,2.426511261,2.873433,267
Indiana,1.930021365,3.336459734,2.888189,2170
Arizona,1.977601125,3.520221436,2.903883,3313
Connecticut,2.048413952,3.694956002,2.927241,4954
Texas,2.089081541,3.830331993,2.940656,6766
Wisconsin,2.148939115,2.367355921,2.9604,233
New Jersey,2.239493002,4.208871138,2.99027,16176
Virginia,2.24110511,3.327154512,2.990802,2124
Georgia,2.250841777,3.344195716,2.994013,2209
Kentucky,2.295765273,2.437750563,3.008832,274
Michigan,2.301230885,3.858055718,3.010634,7212
Ohio,2.34620699,3.451632947,3.02547,2829
Nevada,2.394866377,1.944482672,3.041521,88
Maryland,2.553132542,3.57333584,3.093726,3744
Alabama,2.581290348,3.035429738,3.103014,1085
Pennsylvania,2.589181868,4.046143841,3.105617,11121
Missouri,2.617595201,2.627365857,3.114989,424
Illinois,2.686851074,3.88149878,3.137834,7612
North Carolina,2.77560824,2.687528961,3.167111,487
Mississippi,2.916969751,3.1532049,3.21374,1423
California,2.955553289,3.776410589,3.226467,5976
Tennessee,3.033407971,2.414973348,3.252148,260
Massachusetts,3.06216427,3.846337112,3.261633,7020
Puerto Rico,3.19702119,2.127104798,3.306117,134
New York,3.250366773,4.084147133,3.323713,12138
New York City,4.524112409,4.409933123,3.743866,25700
Hawaii,4.637056202,1.041392685,3.781122,11