State,Renal,logdeaths,Renalhat,deaths
Delaware,0,2.67,2.03,469
District of Columbia,0,2.79,2.03,620
Hawaii,0,1.04,2.03,11
Idaho,0,1.00,2.03,10
Maine,0,0.48,2.03,3
Nebraska,0,1.61,2.03,41
New Hampshire,0,2.16,2.03,143
North Dakota,0,1.28,2.03,19
Rhode Island,0,2.72,2.03,519
Vermont,0,1.79,2.03,62
Wyoming,0,1.15,2.03,14
Nevada,0.088782001,1.94,2.07,88
New Mexico,0.184532797,2.56,2.11,361
Washington,0.26315284,2.43,2.15,267
Iowa,0.326115198,2.28,2.18,189
New York City,0.339539725,4.41,2.18,25700
Oklahoma,0.66854496,1.49,2.33,31
Colorado,0.797117599,3.19,2.38,1556
Arizona,0.927030225,3.52,2.44,3313
Minnesota,1.046308975,2.92,2.49,835
West Virginia,1.110833585,1.11,2.52,13
Connecticut,1.734192887,3.69,2.80,4954
California,1.767118183,3.78,2.81,5976
Maryland,1.986243347,3.57,2.91,3744
Florida,2.023225464,3.61,2.93,4038
Tennessee,2.066815943,2.41,2.95,260
Wisconsin,2.214555577,2.37,3.01,233
Ohio,2.268007155,3.45,3.03,2829
Arkansas,2.280887706,2.14,3.04,139
New York,2.316487074,4.08,3.06,12138
Alabama,2.367420492,3.04,3.08,1085
South Carolina,2.368332885,3.17,3.08,1496
Michigan,2.401997345,3.86,3.09,7212
Massachusetts,2.640009518,3.85,3.20,7020
Kentucky,2.681484391,2.44,3.22,274
New Jersey,2.722906272,4.21,3.24,16176
Mississippi,2.72980638,3.15,3.24,1423
Texas,2.754945151,3.83,3.25,6766
North Carolina,2.756012418,2.69,3.25,487
Pennsylvania,2.774547013,4.05,3.26,11121
Indiana,2.835375401,3.34,3.29,2170
Virginia,2.914896396,3.33,3.32,2124
Illinois,2.921503215,3.88,3.32,7612
Georgia,3.003708474,3.34,3.36,2209
Missouri,3.141276372,2.63,3.42,424
Louisiana,3.148267675,3.50,3.42,3136
Puerto Rico,3.756012406,2.13,3.69,134